                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7038,                 1.1997,                0.81476,                0.51576,                0.30591,                0.38233,                0.18843,                 1.7301,                0.88853,                0.80989,             0.00041394,             0.00041394,             0.00041394
                      2,                 1.6617,                0.86302,                0.80452,                0.53688,                0.39886,                0.47841,                0.24253,                 1.6081,                0.76835,                0.79743,             0.00082239,             0.00082239,             0.00082239
                      3,                 1.5625,                0.75877,                0.79505,                 0.6423,                0.42322,                0.52131,                0.26146,                 1.5884,                0.73182,                0.80616,              0.0012226,              0.0012226,              0.0012226
                      4,                 1.6602,                0.79012,                0.80065,                0.77865,                0.43661,                0.50979,                0.27301,                 1.3962,                 0.6744,                0.79186,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4971,                0.70063,                0.79539,                0.78223,                0.47182,                0.52272,                0.30056,                 1.3469,                0.61303,                0.79468,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.4629,                0.68228,                0.79473,                 0.5513,                0.45263,                0.52054,                0.28168,                 1.3717,                 0.6333,                 0.7909,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.4762,                 0.6981,                0.79141,                 0.8689,                0.46904,                0.54521,                0.30782,                 1.3175,                0.66248,                0.79041,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.4483,                0.69508,                0.79199,                0.58493,                0.47274,                0.53847,                0.26979,                 1.4564,                0.66744,                0.78994,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.4374,                0.65326,                0.79153,                0.88719,                0.47128,                0.59389,                0.32279,                 1.3618,                0.59097,                0.79062,               0.001151,               0.001151,               0.001151
                     10,                 1.4355,                0.63897,                0.78839,                0.88095,                0.52574,                0.60687,                0.34205,                 1.2919,                0.58513,                0.78813,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.4419,                 0.6376,                0.78577,                0.84949,                0.48613,                0.54163,                0.29264,                 1.4242,                 0.6182,                0.79359,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.3986,                0.61028,                0.78669,                0.79265,                0.49525,                 0.5508,                0.27029,                 1.5668,                0.66289,                0.79422,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.4168,                0.62285,                0.78521,                0.88337,                0.53861,                0.60863,                0.34031,                 1.3374,                0.57717,                0.78988,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.3916,                0.61468,                0.78724,                0.83949,                0.45878,                0.54409,                 0.2793,                 1.5569,                0.65959,                0.79671,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.4648,                0.63301,                  0.791,                0.92366,                0.50075,                0.60672,                0.33556,                 1.3269,                 0.5789,                0.78731,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.3706,                0.59161,                0.78527,                0.84964,                0.54198,                0.62559,                0.34884,                 1.2735,                0.54729,                0.78788,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.3244,                0.56997,                0.78466,                0.86634,                0.49711,                 0.5987,                0.33941,                 1.2685,                0.55121,                0.78689,               0.001052,               0.001052,               0.001052
                     18,                 1.3022,                0.56607,                 0.7816,                0.89459,                0.48226,                0.62199,                0.35549,                 1.2457,                0.55303,                0.78747,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.2935,                0.55913,                0.78321,                0.81581,                0.52801,                0.59761,                0.33952,                 1.2954,                0.56403,                0.78896,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.3948,                0.61704,                0.78172,                 0.8799,                0.51413,                0.63293,                0.33935,                   1.29,                0.60127,                0.78675,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.3556,                0.60238,                0.78304,                0.88655,                0.52754,                0.62534,                0.35938,                 1.2451,                 0.5427,                 0.7865,              0.0010025,              0.0010025,              0.0010025
                     22,                  1.258,                0.55045,                 0.7814,                0.83482,                0.52177,                0.62951,                0.37123,                 1.1988,                0.51428,                 0.7849,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.2385,                0.54122,                 0.7799,                0.90695,                0.55928,                0.65013,                0.35829,                 1.2559,                0.52976,                0.78614,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.2618,                0.53668,                0.77967,                0.92878,                0.51727,                0.60675,                0.36617,                 1.1809,                0.52942,                0.78424,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.2337,                0.53423,                0.77986,                0.86134,                 0.4921,                0.60047,                0.34593,                  1.244,                0.54681,                0.78432,               0.000953,               0.000953,               0.000953
                     26,                 1.2693,                0.54907,                0.77979,                0.73783,                0.54422,                0.63172,                0.37444,                 1.2043,                0.52977,                0.78377,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.2261,                0.53012,                0.77776,                0.77367,                0.53424,                0.65012,                0.37282,                 1.1632,                0.49727,                0.78397,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.2027,                 0.5183,                0.78071,                0.94094,                0.50844,                0.65826,                0.36547,                  1.149,                0.50375,                0.78214,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.2113,                0.51894,                0.77669,                0.82225,                0.54151,                0.63617,                0.38415,                 1.1851,                0.51544,                0.78298,              0.0009035,              0.0009035,              0.0009035
                     30,                  1.218,                0.51952,                0.77609,                0.85203,                0.54999,                0.64716,                0.38908,                 1.1501,                0.49444,                0.78106,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.2153,                0.51659,                0.77734,                0.93869,                0.53717,                0.65372,                0.39661,                 1.1713,                0.50566,                0.78242,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.1878,                0.50526,                0.77834,                 0.9255,                0.56228,                0.68926,                0.40136,                 1.1614,                0.50259,                0.78133,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.1735,                0.49948,                 0.7736,                 0.9309,                0.49031,                0.61528,                0.35878,                 1.1989,                0.50413,                0.78533,               0.000854,               0.000854,               0.000854
                     34,                 1.1586,                 0.4863,                0.77782,                0.88706,                0.53029,                 0.6378,                0.38126,                 1.1867,                0.49601,                0.78443,             0.00084162,             0.00084162,             0.00084162
                     35,                  1.153,                0.49319,                0.77491,                0.79707,                 0.5456,                0.63354,                0.39428,                 1.0982,                0.49998,                0.77872,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.1609,                 0.4943,                0.77741,                0.91715,                0.52613,                0.64144,                0.38858,                 1.1723,                0.48799,                0.78284,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.1806,                 0.5126,                0.77501,                0.93069,                0.50838,                0.61313,                0.37052,                 1.1591,                0.48709,                0.77934,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.1571,                0.49566,                0.77603,                0.96004,                0.55584,                 0.6699,                0.41925,                 1.1238,                0.47602,                0.78006,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.1596,                0.49517,                0.77369,                 0.9405,                0.55326,                0.66041,                0.41323,                  1.086,                0.46395,                0.77969,             0.00077975,             0.00077975,             0.00077975
                     40,                   1.17,                 0.4907,                0.77664,                0.94634,                 0.5385,                0.64907,                0.37046,                 1.1905,                 0.4934,                0.78097,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.1582,                0.48755,                0.77644,                0.74838,                0.57259,                0.65712,                0.39593,                 1.1274,                0.47281,                0.78099,               0.000755,               0.000755,               0.000755
                     42,                 1.1353,                0.47808,                0.77256,                0.73771,                0.56313,                0.65191,                0.40529,                 1.1415,                0.48808,                0.78189,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.1287,                 0.4784,                0.77392,                0.67603,                0.57112,                0.64989,                0.39894,                 1.1208,                0.47858,                0.78139,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.1136,                0.47493,                0.77487,                0.90324,                0.55636,                0.67958,                0.39331,                 1.1173,                0.49011,                0.78104,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.1188,                0.47728,                0.77279,                0.85361,                0.56576,                0.64383,                 0.3776,                 1.1329,                0.47072,                0.78055,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.1233,                0.48093,                0.77286,                0.74455,                 0.5575,                0.64354,                0.39701,                 1.0917,                0.46425,                0.78008,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.0959,                0.47274,                0.77239,                0.91262,                0.54136,                0.66654,                  0.409,                 1.1318,                0.47193,                0.78124,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.1223,                0.47043,                0.77272,                0.90828,                0.57708,                0.67111,                0.40476,                 1.0973,                0.46004,                0.78012,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.0757,                0.45559,                0.77444,                0.80675,                0.56546,                0.65708,                0.42338,                 1.0803,                0.45421,                0.77861,               0.000656,               0.000656,               0.000656
                     50,                 1.0973,                0.46841,                0.77194,                0.74952,                0.57174,                0.64475,                0.40844,                 1.0542,                0.45051,                0.77726,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.0943,                0.46677,                0.77457,                0.78588,                0.56127,                0.67078,                 0.4021,                  1.116,                0.46445,                0.78106,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.0686,                0.44845,                0.77461,                0.84399,                0.57965,                0.69081,                0.43904,                 1.0217,                0.44503,                0.77797,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.0682,                0.44682,                0.77029,                0.77488,                0.56096,                0.66298,                0.42522,                 1.0747,                0.46134,                0.77987,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.0865,                0.46019,                0.77218,                0.79851,                0.57409,                0.67487,                0.42514,                 1.0711,                0.44798,                0.77923,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.0594,                0.44609,                0.77427,                0.91671,                0.58243,                0.70567,                0.42409,                 1.0759,                0.44626,                0.78032,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.0743,                0.45647,                0.77061,                0.95255,                0.56937,                0.68578,                 0.4337,                 1.0714,                0.45637,                0.77959,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.0701,                 0.4515,                0.77165,                0.91527,                0.58547,                 0.6731,                0.40832,                  1.093,                0.45329,                0.77848,               0.000557,               0.000557,               0.000557
                     58,                 1.0674,                0.45606,                0.77082,                0.74928,                0.57339,                 0.6833,                0.42094,                 1.0709,                0.46349,                0.77751,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.0385,                0.44091,                0.77242,                0.76178,                0.56915,                0.65863,                0.41196,                 1.0781,                0.45638,                0.77876,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0584,                0.44228,                0.77084,                0.76306,                0.55882,                0.66615,                0.42848,                 1.0786,                0.45465,                0.78017,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0369,                0.43266,                0.76972,                0.89207,                 0.5201,                0.66938,                0.40627,                 1.0509,                 0.4401,                0.77893,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0361,                0.43786,                0.77144,                0.73532,                0.57223,                0.67543,                0.43472,                 1.0168,                0.42938,                0.77822,             0.00049513,             0.00049513,             0.00049513
                     63,                   1.03,                0.43973,                0.77151,                0.77852,                0.57495,                0.66681,                0.40384,                  1.065,                0.44269,                0.77736,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.0366,                0.44031,                0.77103,                 0.8728,                0.61214,                0.69643,                 0.4329,                 1.0876,                0.45862,                0.77599,             0.00047038,             0.00047038,             0.00047038
                     65,                  1.023,                0.43845,                0.77141,                0.95781,                0.57211,                0.68653,                0.44024,                 1.0094,                0.42235,                0.77618,               0.000458,               0.000458,               0.000458
                     66,                 1.0463,                 0.4406,                0.77015,                 0.9344,                0.57886,                 0.6776,                0.41904,                 1.0588,                0.43325,                0.77772,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0173,                0.42487,                0.77007,                0.91527,                0.57682,                0.68285,                0.43871,                 1.0191,                0.42575,                0.77667,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0327,                0.42777,                0.76892,                 0.7708,                0.57644,                0.68023,                0.42797,                 1.0536,                0.43285,                0.77809,             0.00042087,             0.00042087,             0.00042087
